site,plugin,version,status,type,abandonment,security,performance,replaceability,composite,notes
Client A,popover,4.8.1,inactive,premium,5,3,2,5,15,PopUp Pro — product discontinued by vendor in 2019 (folded into Hustle); inactive; remove
Client B,frameworkdeps,1.0,active,custom,4,3,4,4,15,"'Injects all framework dependencies' — 12 scripts + 6 styles enqueued sitewide (validationEngine, bootstrap-waitingfor); classic every-page-load anti-pattern"
Client B,phpengine,1.0,active,custom,4,5,2,4,15,"'Runs PHP pages as menu items' — arbitrary-PHP-execution pattern, single file, active in prod; highest-priority custom plugin to retire"
Client A,allow-multiple-accounts,3.0.4,active,free,5,4,1,4,14,"Not updated in 11 years, tested to WP 4.2, 9k installs; replace with a small filter"
Client A,ultimate-branding,3.4.26,active,premium,2,5,3,4,14,"URGENT: Branda <= 3.4.29 unauth account takeover (CVE-2026-11551, CVSS 9.8; CVE-2025-14998 exploited in wild). White-labeling replaceable with small custom code"
Client A,legacy-agency-hide-title,1.1,active,custom,5,3,1,5,14,Self-described 'temporary plugin' (2019) still active in prod; ~800 PHP files incl. bundled dev deps for a 1-function fix
Client A,legacy-agency-headers-footers,1.0.1,active,custom,5,3,2,4,14,Per-page header/footer injection; overlaps code-snippets + tag manager; ~800 PHP files shipped
Client A,livemesh-siteorigin-widgets,3.9.2,active,free,4,4,3,3,14,CLOSED on wordpress.org 2026-05-18 pending full review — no update channel while closed; audit which widgets are used
Client A,addon-so-widgets-bundle,2.4.2,active,free,5,3,2,4,14,"Author states no longer developed; 7 years stale, tested to WP 5.2; audit usage and remove"
Client B,category-redirect,1.0,active,custom,4,3,2,5,14,Single-file custom redirect logic parsing category descriptions; Redirection plugin (installed) already does this
Client B,replace-http-with-https,1.2,active,custom,4,2,3,5,14,Rewrites http->https in content on every request; run a one-time DB search-replace and remove
Client A,legacy-agency-genesis-extend,20200710,active,custom,5,3,2,3,13,"Legacy agency plugin, frozen since 2020; enqueues bootstrap + slick sitewide"
Client A,legacy-agency-locations,2.2.1,active,custom,5,3,2,3,13,Maps/listings feature; ~950 PHP files shipped; candidate to fold into site plugin
Client A,legacy-agency-directory,2.8,active,custom,5,3,3,2,13,"Load-bearing: core directory feature + 3 shortcodes in content. ~1,900 PHP files, ~19MB, ships PHPUnit + composer dev deps to prod"
Client A,legacy-agency-responsive-menus,20191220,active,custom,5,3,2,3,13,Frozen since 2019; menu behavior belongs in the theme
